timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1479472929459,336,Home Page,200,OK,JMeter Users 1-89,text,true,,289,698,698,336,0
1479472929452,343,Home Page,200,OK,JMeter Users 1-72,text,true,,289,698,698,343,0
1479472929453,342,Home Page,200,OK,JMeter Users 1-73,text,true,,289,698,698,342,0
1479472929455,340,Home Page,200,OK,JMeter Users 1-78,text,true,,289,698,698,340,0
1479472929454,343,Home Page,200,OK,JMeter Users 1-75,text,true,,289,696,696,343,0
1479472929450,348,Home Page,200,OK,JMeter Users 1-68,text,true,,289,695,695,348,0
1479472929450,348,Home Page,200,OK,JMeter Users 1-69,text,true,,289,695,695,348,0
1479472929454,344,Home Page,200,OK,JMeter Users 1-170,text,true,,289,695,695,344,0
1479472929452,346,Home Page,200,OK,JMeter Users 1-71,text,true,,289,693,693,346,0
1479472929455,344,Home Page,200,OK,JMeter Users 1-77,text,true,,289,693,693,344,0
1479472929453,346,Home Page,200,OK,JMeter Users 1-74,text,true,,289,693,693,346,0
1479472929456,349,Home Page,200,OK,JMeter Users 1-80,text,true,,289,702,702,349,0
1479472929438,367,Home Page,200,OK,JMeter Users 1-44,text,true,,289,702,702,367,0
1479472929435,370,Home Page,200,OK,JMeter Users 1-36,text,true,,289,702,702,370,0
1479472929456,349,Home Page,200,OK,JMeter Users 1-171,text,true,,289,702,702,349,0
1479472929456,350,Home Page,200,OK,JMeter Users 1-81,text,true,,289,699,699,350,0
1479472929455,351,Home Page,200,OK,JMeter Users 1-79,text,true,,289,697,697,351,0
1479472929454,352,Home Page,200,OK,JMeter Users 1-76,text,true,,289,697,697,352,0
1479472929460,346,Home Page,200,OK,JMeter Users 1-91,text,true,,289,696,696,346,0
1479472929460,346,Home Page,200,OK,JMeter Users 1-93,text,true,,289,694,694,346,0
1479472929444,363,Home Page,200,OK,JMeter Users 1-59,text,true,,289,694,694,363,0
1479472929436,371,Home Page,200,OK,JMeter Users 1-40,text,true,,289,692,692,371,0
1479472929444,363,Home Page,200,OK,JMeter Users 1-57,text,true,,289,692,692,363,0
1479472929435,372,Home Page,200,OK,JMeter Users 1-35,text,true,,289,692,692,372,0
1479472929456,351,Home Page,200,OK,JMeter Users 1-83,text,true,,289,689,689,351,0
1479472929457,350,Home Page,200,OK,JMeter Users 1-84,text,true,,289,689,689,350,0
1479472929459,348,Home Page,200,OK,JMeter Users 1-88,text,true,,289,689,689,348,0
1479472929458,350,Home Page,200,OK,JMeter Users 1-172,text,true,,289,687,687,350,0
1479472929437,371,Home Page,200,OK,JMeter Users 1-42,text,true,,289,687,687,371,0
1479472929439,369,Home Page,200,OK,JMeter Users 1-46,text,true,,289,687,687,369,0
1479472929435,373,Home Page,200,OK,JMeter Users 1-164,text,true,,289,687,687,373,0
1479472929451,340,Home Page,200,OK,JMeter Users 1-70,text,true,,289,692,692,340,0
1479472929439,418,Home Page,200,OK,JMeter Users 1-45,text,true,,270,683,683,418,0
1479472929431,427,Home Page,200,OK,JMeter Users 1-25,text,true,,289,682,682,427,0
1479472929447,415,Home Page,200,OK,JMeter Users 1-65,text,true,,289,681,681,415,0
1479472929434,429,Home Page,200,OK,JMeter Users 1-32,text,true,,289,680,680,429,0
1479472929444,419,Home Page,200,OK,JMeter Users 1-58,text,true,,289,680,680,419,0
1479472929437,427,Home Page,200,OK,JMeter Users 1-165,text,true,,289,679,679,427,0
1479472929447,417,Home Page,200,OK,JMeter Users 1-66,text,true,,289,679,679,417,0
1479472929460,404,Home Page,200,OK,JMeter Users 1-92,text,true,,289,679,679,404,0
1479472929436,428,Home Page,200,OK,JMeter Users 1-39,text,true,,289,679,679,428,0
1479472929449,415,Home Page,200,OK,JMeter Users 1-169,text,true,,289,679,679,415,0
1479472929416,448,Home Page,200,OK,JMeter Users 1-1,text,true,,289,679,679,448,0
1479472929435,429,Home Page,200,OK,JMeter Users 1-37,text,true,,289,679,679,429,0
1479472929445,419,Home Page,200,OK,JMeter Users 1-168,text,true,,289,679,679,419,0
1479472929433,431,Home Page,200,OK,JMeter Users 1-31,text,true,,289,679,679,431,0
1479472929445,419,Home Page,200,OK,JMeter Users 1-60,text,true,,289,679,679,419,0
1479472929465,399,Home Page,200,OK,JMeter Users 1-94,text,true,,289,679,679,399,0
1479472929443,421,Home Page,200,OK,JMeter Users 1-167,text,true,,289,679,679,421,0
1479472929440,424,Home Page,200,OK,JMeter Users 1-48,text,true,,289,679,679,424,0
1479472929441,423,Home Page,200,OK,JMeter Users 1-49,text,true,,289,679,679,423,0
1479472929438,426,Home Page,200,OK,JMeter Users 1-43,text,true,,289,679,679,426,0
1479472929446,420,Home Page,200,OK,JMeter Users 1-62,text,true,,289,679,679,412,0
1479472929457,409,Home Page,200,OK,JMeter Users 1-85,text,true,,289,677,677,409,0
1479472929442,424,Home Page,200,OK,JMeter Users 1-51,text,true,,289,677,677,424,0
1479472929434,432,Home Page,200,OK,JMeter Users 1-34,text,true,,289,677,677,432,0
1479472929442,424,Home Page,200,OK,JMeter Users 1-53,text,true,,289,675,675,424,0
1479472929433,433,Home Page,200,OK,JMeter Users 1-30,text,true,,289,675,675,433,0
1479472929440,427,Home Page,200,OK,JMeter Users 1-47,text,true,,289,674,674,427,0
1479472929448,419,Home Page,200,OK,JMeter Users 1-67,text,true,,289,673,673,419,0
1479472929443,424,Home Page,200,OK,JMeter Users 1-55,text,true,,289,670,670,424,0
1479472929436,431,Home Page,200,OK,JMeter Users 1-38,text,true,,289,670,670,431,0
1479472929444,423,Home Page,200,OK,JMeter Users 1-56,text,true,,289,669,669,423,0
1479472929442,426,Home Page,200,OK,JMeter Users 1-52,text,true,,289,666,666,426,0
